,hist_window,test_window,strategy,mean,vol,max_dd,abs_mean,DROP
53,210,2,"(3, 10)",-0.06609062224123796,0.6081472800170208,-1.4866498039694704,0.06609062224123796,-3.7238391466886993
54,210,2,"(3, 30)",-0.0008027310140725219,0.9376228248707861,-4.129228539241687,0.0008027310140725219,-7.028250740614822
55,210,2,"(2, 3, 10)",-0.09417628041986514,0.2063885144548525,-2.6286896101235326,0.09417628041986514,-3.7659595925801463
56,210,2,"(2, 3, 30)",-0.07734380142302122,0.5787280295753652,-7.493593235231747,0.07734380142302122,-12.647053437268259
57,210,2,"(2, 10, 30)",-0.19899575129967095,0.37301521232696677,-1.3955139582073848,0.19899575129967095,-2.7362665729761906
58,210,2,"(3, 10, 30)",-0.1853036119581623,0.32175339832784794,-1.1379456609192657,0.1853036119581623,-1.621638310883096
59,210,2,"(2, 3, 10, 30)",-0.17618991233185505,0.18176195586028382,-1.051663846535095,0.17618991233185505,-1.964648729874042
60,240,2,"(2, 3)",-0.3819093375833327,2.117138677126594,-13.671129167776236,0.3819093375833327,-26.960005945765708
61,240,2,"(2, 10)",-0.04479934066422636,0.8137717503001407,-2.4965457711673773,0.04479934066422636,-5.7767075963888495
62,240,2,"(2, 30)",0.04921267246967442,1.544185327884013,-4.349753348392937,0.04921267246967442,-12.79001568120254
63,240,2,"(3, 10)",-0.0696889410909623,0.6045449459695038,-1.53771629089597,0.0696889410909623,-3.778326653489853
64,240,2,"(3, 30)",-0.007870431356113594,0.9313258840286234,-2.8437917010700917,0.007870431356113594,-7.036798521674917
65,240,2,"(2, 3, 10)",-0.0962124934733512,0.2055010179043541,-2.556288040722615,0.0962124934733512,-3.7271409703245366
66,240,2,"(2, 3, 30)",-0.07307152624076763,0.546121956161237,-7.610634023750823,0.07307152624076763,-12.757892648807186
67,240,2,"(2, 10, 30)",-0.20075896515787173,0.3699076434363556,-1.44557125305443,0.20075896515787173,-2.8841538723299642
68,240,2,"(3, 10, 30)",-0.1865624815404907,0.32011491615556076,-1.1359575287024448,0.1865624815404907,-1.7143791611407093
69,240,2,"(2, 3, 10, 30)",-0.17623628714055423,0.18109920860232348,-1.0472408463810008,0.17623628714055423,-2.0784220210071154
70,270,2,"(2, 3)",-0.3940578264718604,2.1205185944327707,-13.994518393110962,0.3940578264718604,-26.985955093375594
71,270,2,"(2, 10)",-0.045107864624769345,0.8148522035813879,-2.5040951368125723,0.045107864624769345,-5.986260426527657
72,270,2,"(2, 30)",0.047177683401270376,1.5414835396385067,-4.472854188343115,0.047177683401270376,-12.817865694268026
73,270,2,"(3, 10)",-0.0706572685525989,0.6024826213766387,-1.5366271974295973,0.0706572685525989,-3.8371684912482684
74,270,2,"(3, 30)",-0.010340962663530517,0.9268147901926493,-2.855032765691197,0.010340962663530517,-6.839979925916909
75,270,2,"(2, 3, 10)",-0.10024293494236497,0.19328255255368182,-2.6094369605508585,0.10024293494236497,-3.69605839056681
76,270,2,"(2, 3, 30)",-0.08446406254225425,0.553809436708366,-7.747263581391593,0.08446406254225425,-12.786811673684763
77,270,2,"(2, 10, 30)",-0.1998429803455788,0.36809743648785664,-1.309896229363119,0.1998429803455788,-2.9514899097040503
78,270,2,"(3, 10, 30)",-0.18619514799315995,0.31738492049486433,-1.123185445460337,0.18619514799315995,-1.7440990938401213
79,270,2,"(2, 3, 10, 30)",-0.17722534467544065,0.17533994468656605,-1.0347341419461595,0.17722534467544065,-2.1843955374411967
80,300,2,"(2, 3)",-0.39133446492202406,2.1439336366467714,-13.393666968920233,0.39133446492202406,-27.132415962992372
81,300,2,"(2, 10)",-0.049221884730365206,0.812243681676041,-2.5156777411022357,0.049221884730365206,-5.999317649429935
82,300,2,"(2, 30)",0.048042226056811965,1.542242643186806,-4.484953764711961,0.048042226056811965,-12.75889489495377
83,300,2,"(3, 10)",-0.07249029412713043,0.5999066845533023,-1.4880103579668171,0.07249029412713043,-3.79230337695585
84,300,2,"(3, 30)",-0.003965524123268449,0.9343708080760412,-2.8424741315408513,0.003965524123268449,-6.913124730647238
85,300,2,"(2, 3, 10)",-0.10348357610583331,0.18112988960481707,-2.5660582248156274,0.10348357610583331,-3.6573196003333543
86,300,2,"(2, 3, 30)",-0.08775058277284553,0.5564333785320683,-7.549890565192439,0.08775058277284553,-13.008981456012085
87,300,2,"(2, 10, 30)",-0.19988967183329898,0.3655851740953393,-1.2847799582688388,0.19988967183329898,-2.9300396866169427
88,300,2,"(3, 10, 30)",-0.18550830668703822,0.31667514632515315,-1.1229596244778102,0.18550830668703822,-1.7233847203168564
89,300,2,"(2, 3, 10, 30)",-0.17715277302560956,0.16829927126437944,-1.0751469484881602,0.17715277302560956,-2.267805472282687
90,330,2,"(2, 3)",-0.39443925280981995,2.1463605623228186,-14.114035596788986,0.39443925280981995,-26.731166723217378
91,330,2,"(2, 10)",-0.04638117981039863,0.8149835170229085,-2.546932024007398,0.04638117981039863,-6.039504259542273
92,330,2,"(2, 30)",0.052597867689206046,1.5467899853750036,-4.499366194027237,0.052597867689206046,-12.679753760572668
93,330,2,"(3, 10)",-0.06919670198386896,0.6029820334145758,-1.5016996969298368,0.06919670198386896,-3.818812364691123
94,330,2,"(3, 30)",0.0016479601976093217,0.9370245910174007,-3.000457635712234,0.0016479601976093217,-6.941653333351857
95,330,2,"(2, 3, 10)",-0.1022814735797713,0.1808133560128436,-2.521640226931726,0.1022814735797713,-3.6424771147888935
96,330,2,"(2, 3, 30)",-0.09130600278537082,0.554771917235327,-7.382045721700872,0.09130600278537082,-11.183537721051577
97,330,2,"(2, 10, 30)",-0.19398818010131758,0.37096476998291517,-1.2927678970340182,0.19398818010131758,-2.9584613009074516
